Date,Close/Last,Volume,Open,High,Low
05/01/2024,$33.48,9865350,$33.42,$34.06,$32.84
04/30/2024,$33.38,12895840,$33.12,$34.47,$33.06
04/29/2024,$31.78,5596298,$31.37,$31.80,$31.37
04/26/2024,$31.33,3689954,$31.32,$31.74,$31.28
04/25/2024,$31.35,3770102,$31.42,$31.68,$31.195
04/24/2024,$31.52,3203487,$31.54,$31.71,$31.32
04/23/2024,$31.53,3186553,$31.57,$31.86,$31.48
04/22/2024,$31.55,3521795,$31.50,$31.77,$31.28
04/19/2024,$31.27,4636555,$30.91,$31.39,$30.91
04/18/2024,$30.91,4653712,$31.05,$31.13,$30.72
04/17/2024,$30.98,5182762,$31.01,$31.44,$30.95
04/16/2024,$30.92,5754371,$31.39,$31.44,$30.90
04/15/2024,$31.29,3385039,$31.83,$32.04,$31.255
04/12/2024,$31.49,3352454,$31.92,$32.05,$31.38
04/11/2024,$32.27,5991283,$32.42,$32.53,$32.03
04/10/2024,$31.95,4155325,$32.07,$32.18,$31.74
04/09/2024,$32.55,4345016,$32.29,$32.57,$32.10
04/08/2024,$32.19,4923718,$32.79,$32.79,$32.19
04/05/2024,$32.54,4540686,$32.33,$32.645,$32.275
04/04/2024,$32.37,4417552,$32.97,$32.995,$32.27
04/03/2024,$32.57,2985739,$32.50,$32.74,$32.41
04/02/2024,$32.51,5086158,$32.54,$32.70,$32.44
04/01/2024,$32.67,2304528,$32.94,$33.01,$32.64
03/28/2024,$32.96,3939089,$33.10,$33.3202,$32.88
03/27/2024,$33.02,4027031,$32.50,$33.04,$32.38
03/26/2024,$32.31,5452557,$32.58,$32.69,$32.29
03/25/2024,$32.47,2587683,$32.54,$32.71,$32.45
03/22/2024,$32.57,4104467,$32.98,$33.015,$32.54
03/21/2024,$33.13,5398188,$32.86,$33.34,$32.815
03/20/2024,$32.67,5431637,$32.58,$32.79,$32.41
03/19/2024,$32.55,4040548,$32.17,$32.55,$32.07
03/18/2024,$32.33,6913396,$32.64,$32.68,$32.265
